REGION,COUNTRY,KW1,KW2,PROJECT TITLE,CLIENT,Name of Client,Duration  (months),EUR Value of assignment,Origin of funding,Start Year,Duration
Asia,Bangladesh,AM,AM,Facilitation of SWAp learning events in Bangladesh and Ghana,Nils Boesen a/s for Danida,"Nils Boesen for Ministry of Foreign Affairs, Denmark",3 Months,"26,890",Denmark,2007,3 Months
Africa,Ghana,AM,AM,Facilitation of SWAp learning events in Bangladesh and Ghana,Nils Boesen a/s for Danida,"Nils Boesen for Ministry of Foreign Affairs, Denmark",3 Months,"26,890",Denmark,2007,3 Months
Global,Global,AM,AM,PPCM Workshop ,ADE,ADE for EU,8 Months,"59,340",EU,2013,8 Months
Africa,Sudan  ,AM,AM,Basic Service Interim Arrangement,BMB Mott MacDonald,BMB Mott MacDonald,5 Months,"52,300",0,2010,5 Months
Global,Global,AM,AM,MoU & code of conduct between Water Sector National authorites & Donors,ADE for EU,ADE for EU,1 Months,"7,000",0,2010,1 Months
Asia,Bhutan,AM,AM,Joint evaluation of the Danish Bhutan Country Programme Phase 2,"Ministry of Foreign Affairs Evaluation Department
","Ministry of Foreign Affairs
Evaluation Department
",11 Months,"195,960",Denmark,2009,11 Months
Global,Global,AM,AM,Effective Approaches to Donor Coordination,Danida,"Ministry of Foreign Affairs, Denmark",1 Months,"1,410",Denmark,2009,1 Months
Global,Global,AM,AM,Desk Study of the Application of Mission Preparation Notes (MPN),Danida,"Ministry of Foreign Affairs, Denmark",2 Months,24270,Denmark,2009,2 Months
Africa,Mozambique,AM,AM,Evaluation of country programme cooperation - Mozambique/Denmark,Danida,"Ministry of Foreign Affairs, Denmark",14 Months,"46,080",Denmark,2007,14 Months
Global,Global,AM,AM,Provision of input to Danida’s Annual performance report 2006 ,Danida,"Ministry of Foreign Affairs, Denmark",3 Months,7800,Denmark,2006,3 Months
Global,Global,AM,AM,Analysis of estimation on consultancy expenses in NGOs in relation to danida,Danida,"Ministry of Foreign Affairs, Denmark",13 Months,17640,Denmark,2005,13 Months
Africa,Kenya,AM,AM,Analysis of the programme work and budget of UNEP,Danida,"Ministry of Foreign Affairs, Denmark",2 Months,29860,Denmark,2004,2 Months
Global,Global,AM,AM,Analysis of estimation on consultancy expenses in NGOs in relation to danida,Danida,"Ministry of Foreign Affairs, Denmark",2 Months,"34,810",Denmark,2004,2 Months
Asia,Bhutan,AM,AM,Preparation of the 9th Five-Year Plan,UNCHS,,5 Months,"73,060",UN,2001,5 Months
Asia,Vietnam,AM,AM,Evaluation of the Danish Development Support to Vietnam 1993 - 2000,Danida,"Ministry of Foreign Affairs, Denmark",14 Months,535820,Denmark,2001,14 Months
Africa,South Africa,AM,AM,"Project Formulation for CITE, Pilot Integrated Housing Project.",Sida,Swedish International Development Cooperation Agency - Sida ,1 Months,1,Sweden,1999,1 Months
Global,Global,AM,GCS,Independent Evaluation of the SDC’s Performance in Disaster Risk Reduction (DRR) 2010-2017,PART,Particip ,9 Months,"24,974",SDC,2019,9 Months
Global,Global,AM,ENM,Review of IFI reporting on Environmental Infrastructure improvements,Indevelop Sweden AB,Indevelop Sweden AB for Sida,4 Months,31436.54601,Sweden,2014,4 Months
Africa,Kenya  ,AM,ENM,Workshop in Nairobi on Environment,ORBICON,ORBICON,1 Months,5000,Denmark,2010,1 Months
Global,Global,AM,WS,SWAP and IWRM: Good practices and lessons learned in the water sector,ADE for EU,"ADE for EU, Aid Delivery Methods - Support Team",½ Months,11850,EU,2010,½ Months
Global,Global,AM,WS,Methodological Support and Training in Aid Delivery Methods/ Water Sector and Integrated Resources Management ,ADE for EU,"ADE for EU
Aid Delivery Methods - Support Team",1 Months,"11,141",EU,2009,1 Months
Global,Global,AM,WS,Aid Delivery Methods/Sector Budget Support rural Development,ADE for EU,"ADE for EU
Aid Delivery Methods - Support Team",2 Months,"7,379",EU,2009,2 Months
Africa,Ghana,AM,GCS,Financial Management Consultancy,Danida,"Ministry of Foreign Affairs, Denmark",2 Months,"10,140",Denmark,2005,2 Months
Asia,Pakistan,AM,PSM,Fiduciary Instruments evaluation Pakistan,WB,World Bank,11 Months,"26,100",WB,2005,11 Months
Africa,Ghana,AM,GCS,Evaluation of bank group assistance to the social sector of Ghana and Tanzania,African development bank,African Development Bank,5 Months,"121,350",AfDB,2004,5 Months
Asia,Bangladesh,ARD,GMD,Mid-Term Review of the Bangladesh Country Programme (2016-2021),Danida,"Ministry of Foreign affairs, Denmark ",2 Months,"120,599",Danida,2019,2 Months
Europe,Albania,ARD,ARD,Mid-Term Review of joint German-Danish Support to Agriculture and Rural Economic Development in Disadvantaged Areas of Albania (SARED) (2014-2018),Danida,"Danida, Ministry of Foreign Affairs, Denmark ",4 Months,"22,348",Denamrk,2016,4 Months
Asia,Bangladesh,ARD,GMD,Mid-term Review of the Agricultural Growth and Employment Programme,Danida,"Danida, Ministry of Foreign Affairs, Denmark",3 Months,"34,573",Danida,2017,3 Months
Asia,Bangladesh,ARD,ARD,"Lessons Learnt Integrated Farm Management Component  (IFMC), Bangladesh",SAEMLI-IFMC,SAEMLI-IFMC,3 Months,"18,053",Denmark,2018,3 Months
Global,Global,ARD,ARD,Policy Advice for Strengthening CAADP implementation,GIZ,Deutsche Gesellschaft für Technische Zusammenarbeit (GTZ),9 Months,"491,800",Germany,2018,9 Months
Asia,Bangladesh,ARD,ARD,Agricultural Growth and Employment Thematic Programme under the Bangladesh Country Programme (2016-2021),Danida,"Danida, Ministry of Foreign Affairs, Denmark",3 Months,"33,324",Denmark,2015,3 Months
Africa,Nigeria  ,ARD,ARD,Support to Ministry of Agriculture in Adaptation and Mitigation Project Development (Nigeria),ASI,Adam Smith International,3 Months,"5,752",GBP,2015,3 Months
Africa,Tanzania  ,ARD,ARD,Inception review f the ADDA project “Nado in Focus” Tanzania,ADDA,ADDA,1 Months,"8,680",Denmark,2013,1 Months
Asia,Laos  ,ARD,ARD,Integrated Rural Development in Poverty Regions of Lao,GIZ,,1 Months,"20,340",,2012,1 Months
Global,Global,ARD,ARD,"Analysis regarding ""Doing Agriculture Index""",Danida,"Danida, Ministry of Foreign Affairs, Denmark",3 Months,"22,850",Denmark,2012,3 Months
Global,Global,ARD,ARD,"Proces-støtte til etablering af Agricultural 
Transformation Index
",Danida,"Danida, Ministry of Foreign Affairs, Denmark",4 Months,"18,420",Denmark,2012,4 Months
